"Contrast","Feature","N","N_subjects","N_excluded","singular","path_a_coef","path_a_se","path_a_t","path_a_df","path_a_p","path_a_p_adj","path_a_CI_lo","path_a_CI_hi","path_a_d"
"TIB4Cue_vs_SoundOnly","left_temporal_so_spindle",3097,28,0,FALSE,0.0514008506359062,0.0359272793440599,1.43069142930815,3094.45762313822,0.152619640191878,0.656173772440534,-0.0190428760830382,0.121844577354851,0.0514008506359062
"TIB4Cue_vs_SoundOnly","frontal_delta_spindle",3097,28,0,TRUE,0.00723960570917707,0.0359488987530651,0.201386021833556,3095.00000002367,0.840409978227081,0.929266080036674,-0.0632465060197605,0.0777257174381146,0.00723960570917707
"TIB4Cue_vs_SoundOnly","occipital_delta_spindle",3097,28,0,TRUE,0.0143596487021737,0.0359482076396697,0.399453815503377,3094.99999995834,0.689586409653515,0.929266080036674,-0.0561251079394684,0.0848444053438158,0.0143596487021737
"TIB4Cue_vs_SoundOnly","posterior_spindle_peak_freq",3097,28,0,FALSE,-0.0414911973325125,0.0343027716638036,-1.20955815871562,3071.16487786873,0.226541580121169,0.724933056387739,-0.10874990124806,0.0257675065830346,-0.0414911973325125
"TIB4Cue_vs_SoundOnly","posterior_theta_power",3097,28,0,FALSE,0.0665122416162624,0.0350336273637646,1.89852569149195,3074.46674715925,0.0577204181919233,0.461763345535386,-0.00217944882019659,0.135203932052721,0.0665122416162624
"TICue_vs_TIB4Cue","central_so_spindle",3148,28,0,FALSE,0.0568226550631162,0.0353621374109345,1.60687840790828,3128.44342984016,0.108181960501155,0.43272784200462,-0.0125126856784688,0.126157995804701,0.0568226550631162
"TICue_vs_TIB4Cue","central_delta_spindle",3148,28,0,TRUE,-0.030197174185807,0.0356664814749091,-0.846654139603043,3145.9999999015,0.397252324811643,0.746982265158358,-0.100129098155804,0.0397347497841899,-0.030197174185807
"TICue_vs_TIB4Cue","posterior_delta_spindle",3148,28,0,TRUE,0.0214586977671797,0.035668492855189,0.601614928174852,3145.9999999964,0.547473838731772,0.746982265158358,-0.0484771699529984,0.0913945654873579,0.0214586977671797
"TICue_vs_TIB4Cue","right_temporal_spindle_peak_freq",3148,28,0,FALSE,-0.0201565099461532,0.0346003357401099,-0.58255243814837,3122.12721946166,0.560236698868769,0.746982265158358,-0.087998222081656,0.0476852021893495,-0.0201565099461532
"TICue_vs_TIB4Cue","left_temporal_spindle_peak_freq",3148,28,0,FALSE,-0.0389059878377035,0.0347210385307995,-1.12053064896638,3123.00494123191,0.262573859594053,0.654963060410413,-0.106984357423482,0.0291723817480752,-0.0389059878377035
"TICue_vs_TIB4Cue","frontal_central_so_spindle",3148,28,0,FALSE,0.0444419038027354,0.0350182983984624,1.26910517744308,3125.44050531899,0.204498053784603,0.654393772110731,-0.0242192895612114,0.113103097166682,0.0444419038027354
"TICue_vs_TIB4Cue","right_temporal_so_spindle",3148,28,0,FALSE,0.0379679251449155,0.0356201940839082,1.06591011423118,3135.73731333071,0.286546338929556,0.654963060410413,-0.0318733302627258,0.107809180552557,0.0379679251449155
"TICue_vs_TIB4Cue","posterior_sigma_burst_amp",3148,28,0,FALSE,0.0257560190895327,0.0345191744966605,0.74613658829021,3123.38734546889,0.455641061037718,0.746982265158358,-0.0419265476500621,0.0934385858291274,0.0257560190895327
"TICue_vs_TIB4Cue","left_temporal_delta_spindle",3148,28,0,TRUE,0.0120440148803448,0.0356698982671322,0.337652067021528,3146.00000005246,0.735647927315901,0.793488260940883,-0.0578946084567902,0.0819826382174798,0.0120440148803448
"TICue_vs_TIB4Cue","right_temporal_delta_spindle",3148,28,0,FALSE,-0.00447483632124002,0.0356613618451729,-0.125481363854469,3138.16131327284,0.900150515620525,0.900150515620525,-0.0743967893596833,0.0654471167172032,-0.00447483632124002
"TICue_vs_TIB4Cue","central_aperiodic",3148,28,0,FALSE,-0.0825513748722218,0.0345023899320294,-2.39262772911819,3122.58759046829,0.0167869635150045,0.268591416240073,-0.150201038433372,-0.014901711311072,-0.0825513748722218
"TICue_vs_TIB4Cue","left_temporal_so_spindle",3148,28,0,FALSE,0.0116519319828932,0.035662462809094,0.326728191635769,3141.07545972764,0.743895244632078,0.793488260940883,-0.058272154707665,0.0815760186734514,0.0116519319828932
"TICue_vs_TIB4Cue","frontal_delta_spindle",3148,28,0,FALSE,0.0154419975824895,0.0356689938752737,0.43292495539646,3141.76090911602,0.665099006687254,0.793488260940883,-0.0544948888151935,0.0853788839801725,0.0154419975824895
"TICue_vs_TIB4Cue","occipital_delta_spindle",3148,28,0,FALSE,-0.0240572408166217,0.0356638481556888,-0.674555384814364,3142.81471772416,0.500007902028549,0.746982265158358,-0.0939840288660445,0.0458695472328011,-0.0240572408166217
"TICue_vs_TIB4Cue","posterior_spindle_peak_freq",3148,28,0,FALSE,-0.0624310498425372,0.0336576514640352,-1.85488431684688,3119.792771244,0.0637070284131102,0.402356693952871,-0.128424437350558,0.00356233766548348,-0.0624310498425372
"TICue_vs_TIB4Cue","posterior_theta_power",3148,28,0,FALSE,-0.0610247036051474,0.0343151309232415,-1.77836138062978,3119.97484538421,0.0754418801161632,0.402356693952871,-0.128307225783954,0.00625781857365922,-0.0610247036051474
