"Outcome","Contrast","Feature","N_trials","N_subjects","Joint_singular","PathB_estimate","PathB_p","PathB_p_FDR","ACME_mean","ACME_sd","ACME_CoV","QB_p","QB_p_FDR","Perm_p","Perm_p_FDR","Direct_effect","Prop_mediated"
"Image Accuracy","TICue_vs_SoundOnly","central_aperiodic",3312,28,FALSE,-0.00303567086488426,0.941891600467816,0.995849233123263,-1.48840651202238e-05,0.000283865776490742,-0.0524334609977517,0.96,0.98,0.744255744255744,0.850577993435136,0.0232051810777735,-1.68133153948569e-05
"Image Accuracy","TICue_vs_SoundOnly","left_temporal_so_spindle",3312,28,FALSE,0.0897829111235556,0.0508246477795564,0.271064788157634,0.000364261132724427,0.000344806060972892,1.05642323019683,0.206,0.98,0.02997002997003,0.234432234432234,0.0221551298395644,0.0115262800032729
"Image Accuracy","TICue_vs_SoundOnly","frontal_delta_spindle",3312,28,FALSE,0.0249105276741168,0.573169047861491,0.655050340413132,2.69294517809083e-05,0.000136041936491112,0.197949635792398,0.856,0.98,0.317682317682318,0.661338661338661,0.022801158109996,0.000345582927946532
"Image Accuracy","TICue_vs_SoundOnly","occipital_delta_spindle",3312,28,FALSE,-0.0715364482237234,0.106794941295503,0.313178241846013,3.5875705134908e-05,0.000237285369981652,0.151192233797145,0.858,0.98,0.330669330669331,0.661338661338661,0.0228985166893712,0.00063204658167252
"Image Accuracy","TICue_vs_SoundOnly","posterior_spindle_peak_freq",3312,28,FALSE,-0.0587123471654449,0.218213981970934,0.359400351704599,0.00014885072773285,0.000538451294941419,0.276442324739964,0.798,0.98,0.012987012987013,0.207792207792208,0.02205656127262,0.00236224055939698
"Image Accuracy","TICue_vs_SoundOnly","posterior_theta_power",3312,28,FALSE,0.063845396125525,0.160540796917976,0.322281495178324,4.66234816960371e-05,0.00043280055961741,0.107725095682066,0.936,0.98,0.405594405594406,0.720733811642903,0.0231545879518918,0.000372935405612526
"Image Accuracy","TIB4Cue_vs_SoundOnly","central_so_spindle",3218,28,FALSE,0.043482215284668,0.438889756258978,0.722151542935308,-5.85025237791375e-05,0.000325046037077349,-0.17998227052747,0.846,0.934,0.617382617382617,0.658541458541459,-0.0556581203135311,0.000474955957824145
"Image Accuracy","TIB4Cue_vs_SoundOnly","central_delta_spindle",3218,28,FALSE,-0.0257488597698546,0.59534583863874,0.722151542935308,3.9511743119404e-05,0.000172432427383428,0.229143344549365,0.854,0.934,0.162837162837163,0.434232434232434,-0.0550609782343048,-0.000268104049922186
"Image Accuracy","TIB4Cue_vs_SoundOnly","posterior_delta_spindle",3218,28,FALSE,0.107414485869328,0.0248712365533823,0.132646594951372,0.00013203830295877,0.000345829926838344,0.381801263314295,0.686,0.934,0.382617382617383,0.634565434565435,-0.0561392976675755,-0.00184249068484786
"Image Accuracy","TIB4Cue_vs_SoundOnly","right_temporal_spindle_peak_freq",3218,28,FALSE,-0.0742246701096541,0.0808595788607796,0.258750652354495,-0.000247502199192532,0.000547248819990171,-0.452266300358541,0.64,0.934,0.512487512487512,0.653061224489796,-0.0548699152689741,0.00319108412423896
